site,timestamp,q_cms,Cond,DO_sat,fDOM,spCond,temp,turb,precip_mm,temp_C,atm_mbar,PAR_uE,windSpeed,gustSpeed,solarRad_wm2,windDir,Rh,dewPoint
Wade,2017-11-08 17:15:00,0.315403112,14.9586666666667,97.4713333333333,29.3765983946943,24.7933333333333,4.24266666666667,0.304666666666667,0,-0.56,984.4,14,0,0,6,246,78.3,-3.87
Wade,2017-11-08 17:30:00,0.341530595,14.9513333333333,97.5886666666667,29.3041415336522,24.8,4.214,0.284,0,-0.96,984.6,4,0,0,2,246,79.2,-4.11
Wade,2017-11-08 17:45:00,0.321755835,14.9586666666667,97.584,29.2357416959985,24.8346666666667,4.184,0.28,0,-1.33,984.5,1,0,0,1,246,80.2,-4.3
Wade,2017-11-08 18:00:00,0.328226644,14.9426666666667,97.424,29.1952291746647,24.84,4.14533333333333,0.297333333333333,0,-1.64,984.6,1,0,0,1,246,80.8,-4.51
Wade,2017-11-08 18:15:00,0.315403112,14.9573333333333,97.6253333333333,29.155620246271,24.8746666666667,4.12266666666667,0.230666666666667,0,-1.84,984.6,1,0,0,1,246,82.1,-4.49
Wade,2017-11-08 18:30:00,0.328226644,14.9686666666667,97.4173333333333,29.0968494113111,24.9146666666667,4.08533333333333,0.289333333333333,0,-1.78,984.7,1,0,0,1,246,81.9,-4.47
Wade,2017-11-08 18:45:00,0.315403112,14.9526666666667,97.6053333333333,29.0487185297089,24.92,4.06266666666667,0.308666666666667,0,-1.81,984.7,1,0,0,1,246,83.5,-4.24
Wade,2017-11-08 19:00:00,0.309166491,14.9586666666667,97.6746666666667,28.994749480885,24.9546666666667,4.034,0.275333333333333,0,-1.99,984.9,1,0,0,1,246,84.7,-4.22
Wade,2017-11-08 19:15:00,0.315403112,14.9686666666667,97.6193333333333,28.9700974953709,24.986,4.01266666666667,0.296,0,-2.02,985,1,0,0,1,246,85.8,-4.08
Wade,2017-11-08 19:30:00,0.315403112,14.9786666666667,97.6273333333333,28.9228323929064,25.0073333333333,3.99266666666667,0.265333333333333,0,-1.78,985,1,0,0,1,246,86.8,-3.7
Wade,2017-11-08 19:45:00,0.309166491,14.9713333333333,97.422,28.8820701654104,25.0186666666667,3.97266666666667,0.26,0,-1.93,985.2,1,0,0,1,246,86.6,-3.87
Wade,2017-11-08 20:00:00,0.297033787,14.97,97.2773333333333,28.8617372452203,25.0373333333333,3.95266666666667,0.242666666666667,0,-2.33,985.1,1,0,0,1,246,88.1,-4.04
Wade,2017-11-08 20:15:00,0.315403112,14.97,97.494,28.8270962937819,25.0486666666667,3.924,0.283333333333333,0,-2.25,985.3,1,0,0,1,246,89.2,-3.79
Wade,2017-11-08 20:30:00,0.297033787,14.9613333333333,97.4866666666667,28.7772736620433,25.0586666666667,3.894,0.281333333333333,0,-2.42,985.3,1,0,0,1,246,88.7,-4.04
Wade,2017-11-08 20:45:00,0.303044024,14.9686666666667,97.246,28.718672605856,25.1033333333333,3.864,0.271333333333333,0,-2.48,985.3,1,0,0,1,246,88.5,-4.12
Wade,2017-11-08 21:00:00,0.303044024,14.9526666666667,97.496,28.7134560101234,25.1013333333333,3.84266666666667,0.226666666666667,0,-2.74,985.3,1,0,0,1,246,89.7,-4.2
Wade,2017-11-08 21:15:00,0.303044024,14.9586666666667,97.5573333333333,28.6672564653735,25.126,3.82266666666667,0.228666666666667,0,-2.65,985.5,1,0,0,1,246,89.9,-4.09
Wade,2017-11-08 21:30:00,0.309166491,14.986,97.352,28.625017720274,25.182,3.794,0.247333333333333,0,-2.83,985.4,1,0,0,1,246,90.8,-4.13
Wade,2017-11-08 21:45:00,0.303044024,14.964,97.3806666666667,28.6033085680407,25.1726666666667,3.764,0.25,0,-3.12,985.5,1,0,0,1,246,91.8,-4.27
Wade,2017-11-08 22:00:00,0.321755835,14.9686666666667,97.4073333333333,28.5804325681635,25.2133333333333,3.734,0.276,0,-3.18,985.5,1,0,0,1,246,92.5,-4.23
Wade,2017-11-08 22:15:00,0.285342471,14.97,97.5833333333333,28.5463291832481,25.2373333333333,3.704,0.271333333333333,0,-3.04,985.5,1,0,0,1,246,91.9,-4.17
Wade,2017-11-08 22:30:00,0.297033787,14.97,97.4453333333333,28.4978214171732,25.2573333333333,3.674,0.27,0,-2.86,985.3,1,0,0,1,246,91.7,-4.03
Wade,2017-11-08 22:45:00,0.297033787,14.9526666666667,97.6626666666667,28.4788868154283,25.2426666666667,3.65266666666667,0.278666666666667,0,-2.95,985.2,1,0,0,1,246,92,-4.07
Wade,2017-11-08 23:00:00,0.285342471,14.9673333333333,97.648,28.4314395907089,25.2833333333333,3.63266666666667,0.297333333333333,0,-3.04,985.2,1,0,0,1,246,92.5,-4.09
Wade,2017-11-08 23:15:00,0.279657696,14.9526666666667,97.5273333333333,28.4262911685392,25.2726666666667,3.62133333333333,0.282666666666667,0,-2.77,985,1,0,0,1,246,92,-3.9
Wade,2017-11-08 23:30:00,0.268600879,14.9586666666667,97.5706666666667,28.3801058633027,25.3046666666667,3.594,0.254,0,-3.06,984.9,1,0,0,1,246,92,-4.19
Wade,2017-11-08 23:45:00,0.274077757,14.9513333333333,97.45,28.3402133662009,25.31,3.57266666666667,0.258666666666667,0,-3.18,984.8,1,0,0,1,246,92.5,-4.23
Wade,2017-11-09 00:00:00,0.274077757,14.9673333333333,97.5686666666667,28.3329902637752,25.362,3.55266666666667,0.234,0,-3.3,984.7,1,0,0,1,246,93.3,-4.24
Wade,2017-11-09 00:15:00,0.291133891,14.9526666666667,97.512,28.300161689249,25.3526666666667,3.524,0.334,0,-3.24,984.7,1,0,0,1,246,93.9,-4.09
Wade,2017-11-09 00:30:00,0.274077757,14.9586666666667,97.6126666666667,28.2846207932819,25.376,3.51133333333333,0.280666666666667,0,-2.95,984.6,1,0,0,1,246,93.2,-3.9
Wade,2017-11-09 00:45:00,0.274077757,14.9686666666667,97.5693333333333,28.2316008261334,25.406,3.49266666666667,0.296,0,-3.01,984.5,1,0,0,1,246,93.5,-3.91
Wade,2017-11-09 01:00:00,0.263225311,14.9786666666667,97.4733333333333,28.1673071200164,25.436,3.47266666666667,0.343333333333333,0,-3.09,984.4,1,0,0,1,246,93.8,-3.96
Wade,2017-11-09 01:15:00,0.263225311,14.9626666666667,97.5293333333334,28.1459527167753,25.4313333333333,3.45266666666667,0.289333333333333,0,-3.09,984.3,1,0,0,1,246,93.9,-3.94
Wade,2017-11-09 01:30:00,0.268600879,14.96,97.54,28.1235189989818,25.4386666666667,3.44133333333333,0.245333333333333,0,-2.68,983.9,1,0,0,1,246,93.7,-3.56
Wade,2017-11-09 01:45:00,0.274077757,14.9686666666667,97.4533333333333,28.0789752639252,25.466,3.43133333333333,0.266,0,-2.36,983.9,1,0,0,1,247,93.7,-3.25
Wade,2017-11-09 02:00:00,0.274077757,14.9786666666667,97.466,28.0626641388269,25.4873333333333,3.42133333333333,0.27,0,-2.6,983.9,1,0,0,1,247,93.5,-3.51
Wade,2017-11-09 02:15:00,0.25277124,14.9713333333333,97.5653333333333,28.0257378128396,25.4813333333333,3.40266666666667,0.252666666666667,0,-2.57,984,1,0,0,1,247,93.4,-3.49
Wade,2017-11-09 02:30:00,0.25794933,14.9873333333333,97.5193333333333,27.993513510159,25.5146666666667,3.39133333333333,0.284666666666667,0,-2.77,983.8,1,0,0,1,247,93.3,-3.71
Wade,2017-11-09 02:45:00,0.25794933,14.9813333333333,97.4233333333333,27.9931372531047,25.52,3.38133333333333,0.29,0,-3.01,983.9,1,0,0,1,247,93.2,-3.96
Wade,2017-11-09 03:00:00,0.25277124,14.9973333333333,97.436,27.9245076203088,25.5546666666667,3.37133333333333,0.246666666666667,0,-3.21,983.8,1,0,0,1,247,93,-4.19
Wade,2017-11-09 03:15:00,0.25277124,15,97.362,27.8931042746985,25.5773333333333,3.35266666666667,0.231333333333333,0,-3.12,983.7,1,0,0,1,247,92.9,-4.12
Wade,2017-11-09 03:30:00,0.263225311,15,97.3413333333333,27.8768151736086,25.58,3.34133333333333,0.264666666666667,0,-2.8,983.7,1,0,0,1,247,92.7,-3.82
Wade,2017-11-09 03:45:00,0.263225311,15.0086666666667,97.444,27.8102186008352,25.606,3.33133333333333,0.27,0,-2.71,983.4,1,0,0,1,289,92.5,-3.77
Wade,2017-11-09 04:00:00,0.263225311,15.0273333333333,97.3733333333333,27.7720400994875,25.636,3.33,0.261333333333333,0,-2.48,983.5,1,0,0,1,289,91.5,-3.68
